,Item Name,Price,Quantity,Image link
0,Pearl Spot / Karimeen / Koral (Large), ₹299.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/a/karimeen_large_1_2.jpg
1,Pearl Spot / Karimeen / Koral (Medium), ₹289.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/a/karimeen_medium_2.jpg
2,Pearl Spot / Karimeen / Koral (Super Large), ₹325.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/a/karimeen_large_1_1.jpg
3,Peri Peri Chicken Wings (350g Pack), ₹249.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/e/peri_peri_chicken_wings_2.jpg
4,Phasa / ফ্যাঁসা / Phansa / Gangetic Hairfin Anchovy / Tampara (Kolkata Special), ₹309.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/h/phansa.jpg
5,Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (Medium), ₹209.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/i/pinkperch_4.jpg
6,Premium Antibiotic-residue-free Boneless Chicken Cubes, ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken-cubes_3.jpg
7,Premium Antibiotic-residue-free Chicken - Skinless Biryani Cut 50g+/piece, ₹119.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_curry_cut.jpg
8,Premium Antibiotic-residue-free Chicken Gizzard, ₹49.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/i/gizards.jpg
9,Premium Antibiotic-residue-free Chicken Thigh (Boneless), ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/h/thighs.jpg
10,Premium Boneless Antibiotic-residue-free Chicken Breast Fillet, ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken-breast.jpg
11,Premium Fresh Chicken Mince / Kheema, ₹225.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken-mince.jpg
12,Premium Goat - Ribs and Chops, ₹375.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/o/goat_chops2.jpg
13,Premium Goat - Shanks, ₹375.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/1/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/l/a/lamb-shanks.jpg
