,Item Name,Price,Quantity,Image link
0,**Exclusive** Desi Backwater Stinging Catfish / Singi / Kaari, ₹549.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/t/stinging_catfish.jpg
1,**Exclusive** Pakal / পাঁকাল/ Baan / Bengal Eel, ₹399.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/a/pakal_fish.png
2,Barbeque Chicken Breast (350g Pack), ₹330.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/barbecue_chicken_breast.jpg
3,Barracuda / Cheelavu / Thinda (Large), ₹276.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/barracuda_2.jpg
4,Bengal Desi Duck Dressed with Tasty Skin Medium (1pc Bird/Pack), ₹738.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/d/u/duck_whole_1_bengal_2.jpg
5,Bengal Desi Duck Dressed with Tasty Skin Small (1pc Bird/Pack), ₹639.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/d/u/duck_whole_1_bengal.jpg
6,Black Snapper / Karipetti, ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/l/black-snapper_whole_1.jpg
7,Boal Fish / Attu Vaala / Malli / Wallago / Barwari / Mully / Baloo / Valai / Tapah, ₹299.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/o/boal-fish-whole.jpg
8,Boneless Hariyali Chicken Tikka (350g Pack), ₹289.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/a/hariyali_chicken_tikka-cooked.jpg
9,Burmese Prawn Curry (300g Pack), ₹345.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/u/burmese-prawn-curry-800-x-533.jpg
10,Butter Chicken, ₹279.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/u/butter-chickencooked-800-x-533.jpg
11,Butter Fish / Punnarameen (Soft as Butter), ₹249.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/u/butter-fish-butterfishwhole_3.jpg
12,Catla (Extra Large 4kg+), ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/t/fth-catla-1_4.jpg
13,Chela fish, ₹349.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chela.jpg
14,Chicken Mince / Kheema Dry Fry (500g), ₹305.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_kheema.jpg
15,Chitol / চিতল/ চেতল / Chitala / Knifefish / Humped Featherback, ₹379.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chitolsmall.jpg
16,"Cobia / Motha/ Black King Fish (Similar to Seer Fish, Some Say That It Tastes Better)", ₹299.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/o/modha_whole_2.jpg
17,Coconut Chicken Curry (500g), ₹279.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/o/coconut_chicken-coocked.jpg.jpg
18,Country Chicken / Desi Chicken / Natti Koli With Skin Curry Cut (Small) - (Sold as Pack of 1 Chicken), ₹499.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/o/country_chicken_4_1_3.jpg
