,Item Name,Price,Quantity,Image link
0,Bengal Desi White Prawns / Naaran / Chapra Chingri, ₹469.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chapra__r3a46645d.jpg
1,Bhangor / ভাঙ্গর / Thirutha / Grey Mullet (Kolkata/Malancha), ₹239.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grey-mullet_3.jpg
2,Bhetki / ভেটকী / Barramundi / Asian Seabass / Kalanji, ₹349.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/h/bhetki_1.jpg
3,Black Snapper / Karipetti, ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/l/black-snapper_whole_1.jpg
4,Bombay Duck Fish / Bombil, ₹149.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/o/bombay_duck_fish.jpg
5,Boneless Hariyali Chicken Tikka (350g Pack), ₹275.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/a/hariyali_chicken_tikka-cooked.jpg
6,Burmese Prawn Curry (300g Pack), ₹299.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/u/burmese-prawn-curry-800-x-533.jpg
7,Butter Chicken, ₹245.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/u/butter-chickencooked-800-x-533.jpg
8,Cabbage Leafy Vegetable Mix - 500g Pack (Ozone Washed), ₹85.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/u/cut_cabbage_1.jpg
9,Chicken Mince / Kheema Dry Fry (500g), ₹275.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_kheema.jpg
10,Chinese Stir Fry Cut Vegetable Mix - 500g Pack (Ozone Washed), ₹99.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chinese_stir_fry_mix.jpg
11,Chitol / চিতল/ চেতল / Chitala / Knifefish / Humped Featherback, ₹425.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chitolsmall.jpg
12,"Clam Meat / Kakka (Extra Small, uncleaned)", ₹125.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/a/kakka_extra_small.jpg
13,"Clam Meat / Kakka (Large, uncleaned)", ₹225.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/l/clam_large.jpg
14,"Cobia / Motha/ Black King Fish (Similar to Seer Fish, Some Say That It Tastes Better)", ₹349.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/93/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/o/modha_whole_2.jpg
