,Item Name,Price,Quantity,Image link
0,Barbeque Chicken Breast (350g Pack), ₹275.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/barbecue_chicken_breast.jpg
1,Big Eye Snapper (Small), ₹159.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a35405d-edit-3.jpg
2,Black Snapper / Karipetti, ₹249.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/l/black-snapper_whole_1.jpg
3,Boneless Hariyali Chicken Tikka (350g Pack), ₹199.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/a/hariyali_chicken_tikka-cooked.jpg
4,Burmese Prawn Curry (300g Pack), ₹325.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/u/burmese-prawn-curry-800-x-533.jpg
5,Butter Chicken, ₹175.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/u/butter-chickencooked-800-x-533.jpg
6,Chicken Mince / Kheema Dry Fry (500g), ₹199.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_kheema.jpg
7,"Clam Meat / Kakka (Large, uncleaned)", ₹129.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/l/clam_large.jpg
8,"Clam Meat / Kakka (Medium, uncleaned)", ₹109.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/e/medium_clams.jpg
9,"Cobia / Motha/ Black King Fish (Similar to Seer Fish, Some Say That It Tastes Better)", ₹329.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/o/modha_whole_2.jpg
10,Coconut Chicken Curry (500g), ₹175.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/o/coconut_chicken-coocked.jpg.jpg
11,Combo Pack (1kg of Premium Tender & Antibiotic-residue-free Chicken Skinless Curry Cut + 500g Sail Fish / Ola Meen Curry Cut), ₹389.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken-sailfish_3.jpg
12,Combo Pack (1kg of Premium Tender & Antibiotic-residue-free Chicken Skinless Curry Cut + 500g Yellow Fin Tuna / Kera Curry Cut), ₹419.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/y/e/yello_fin_tuna_curry_cut_chicken_curry_cut.jpg
13,Emperor / Eari / Sheri (Small), ₹289.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/e/m/emperor-whole-_1_.jpg
14,Emperor / Eari / Sheri / Shaari, ₹269.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/e/m/emperor-emperorfishwhole_3.jpg
15,False Pomfret / Bheeman Avoli, ₹189.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/a/false_pomfret.jpg
16,Finletted Mackerel / Kanni Ayala (Medium / Large), ₹169.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/i/finletted_mackerel_01.jpg
17,Flower Tiger Shrimp, ₹409.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a75895d-edit_-_flower_prawn_1.jpg
18,Fresh Indian Baasa / Pangasius / Pangas, ₹60.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/baasa_whole.jpg
19,Freshwater Anchovy / Kozhuva / Natholi/ Kachki / কাচকি, ₹149.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/r/freshwater_anchovies.jpg
20,Gambas - Prawns Cooked In Sun Dried Tomato And Olives, ₹295.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/r/prawn_gambas.jpg
21,Goan Style Chicken Cafreal (250g Pack), ₹99.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/o/goan_chicken_1.jpg
22,Granny's Masala Fried Chicken (250g Pack), ₹99.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grandma_fried_chicken_cooked_1.jpg
23,Great Indian White Prawns / Indian Naaran (Wild Caught) (Small), ₹299.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/n/a/naaran.jpeg
24,Grey Mullet / Thirutha/ Bhangor (Small), ₹239.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grey_mullet_small_2.jpg
25,Grouper / Reef Cod / Kalava (Large), ₹219.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grouper_large_3.jpg
26,"Handmade Nawabi Chicken Seekh Kebab (3 to 5 pieces, 210g to 230g)", ₹125.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_kebab.jpg
27,"Handmade Nawabi Mutton Seekh Kebabs (3 to 5 pieces, 140g to 160g)", ₹125.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/e/kebab-1_1_4.jpg
28,Herb-Stuffed Whole Roast Chicken (1.1kg to 1.3kg pack), ₹325.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/e/herb-stuffed_whole_roast_chicken.jpg
29,"Hilsa / Ilish - (Whole Fish Size 900gm-1kg) (Cleaned, Bengali Round cut) 1pc"," ₹1,618.00",/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/i/hilsa-fish_01_2.jpg
30,Horse Mackerel / Ayala Para / Vankada, ₹159.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/o/horse_mackerel_7.jpg
31,Jumbo Flower Tiger Shrimp (Large), ₹409.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a75615d-edit_1.jpg
32,Kerala Prawn Roast (300g), ₹325.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/e/kerala-prawn-roast-cooked.jpg
33,Leather Jacket, ₹209.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/l/e/leatherjacket_whole.jpg
