,Item Name,Price,Quantity,Image link
0,Anchovy / Kozhuva / Natholi (Small & Crunchy), ₹159.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/a/n/anchovies_whole_small.jpeg
1,Apple Green (FR), ₹130.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/a/p/apple_green-_france.jpg
2,Apple Royal Gala - Pack of 4 /ஆப்பிள், ₹175.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/a/p/apple_royal_gala_polland_3.jpg
3,Apple Shimla - Pack of 4 /சிம்லா ஆப்பிள், ₹160.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/h/shimla_apple_2.jpg
4,AVACADO FRESH-KG, ₹170.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/a/v/avocado_-_kenya_1_1.jpg
5,Baby Potato /பேபி உருளைக்கிழங்கு, ₹20.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/baby_potato_2.jpg
6,Banana - Nendran (Semi / Full Ripe) / நேந்திரம் பழம், ₹27.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/n/e/nendran.jpg
7,Banana - Robusta / பச்சை வாழை, ₹17.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/r/o/robusta.jpg
8,Banana - Yelakki / எலக்கி, ₹38.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/y/e/yelakkia_banana.jpg
9,Banana Flower, ₹22.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/banana_flower.jpg
10,Banana Karpuram Fresh / கற்பூரவல்லி, ₹27.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/o/poovan_1_1.jpg
11,Banana Raw - 1 Unit, ₹13.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/r/a/raw-banana.jpg
12,Barbeque Chicken Breast (350g Pack), ₹275.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/barbecue_chicken_breast.jpg
13,Barracuda / Cheelavu / Thinda / ஷீலாவு (Small), ₹225.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/baracuda_5b3a21015d-edit_2.jpg
14,Barracuda / Cheelavu / Thinda / ஷீலாவு (Large), ₹375.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/barracuda_2.jpg
15,Beans Broad Fresh / அவரைக்காய், ₹37.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/e/beans_board.jpg
16,Beans Cluster / கொத்தவரங்காய், ₹37.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/l/clusterbeans.jpg
17,BEANS FRENCH CRISPY FRESH / பீன்ஸ், ₹33.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/e/beans-kenya_2_3.jpg
18,Beetroot Fresh / பீட் ரூட், ₹35.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/e/beetroot_3_2_1.jpg
19,Bhetki / ভেটকী / Barramundi / Asian Seabass / Kalanji / கொடுவா, ₹399.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/h/bhetki_1.jpg
20,Bitter Gourd Fresh / பாகற்காய், ₹30.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/i/bitter_gourd_white_1_1.jpg
21,Black Pomfret / Karutha Avoli / Halwa Fish / கரு வவ்வால் (700g to 3kg), ₹399.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/t/fth-black-pomfret-1.jpg
22,Black Pomfret / Karutha Avoli / Halwa Fish / கரு வவ்வால் (100g to 300g), ₹379.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/l/black_pomfret_small.jpg
23,Black Pomfret / Karutha Avoli / Halwa Fish / கரு வவ்வால் (300g to 700g), ₹329.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/l/black_pomfret_1_1.jpg
24,BLUEBERRY (100g pack), ₹225.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/l/blueberry_uae_175gm_2.jpg
25,Bombay Duck Fish / Bombil /வங்கரவசி, ₹149.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/o/bombay_duck_fish.jpg
26,Bottle Gourd Fresh / சுரைக்காய், ₹30.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/o/bottle-gourd_1.jpg
27,Brinjal Jumbo / கத்தரிக்காய், ₹35.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/e/g/eggplant_premium_local_1__1_1_1.jpg
28,Brinjal Long Ujala / கத்தரிக்காய், ₹25.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/r/brinjal_ujala_long.jpg
29,Brinjal Vari / கத்தரிக்காய், ₹25.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/r/brinjal_1.jpg
30,BROCCOLI FRESH-KG / ப்ரோக்கோலி, ₹75.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/r/broccoli_local_1_1.jpg
31,Burmese Prawn Curry (300g Pack), ₹325.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/u/burmese-prawn-curry-800-x-533.jpg
32,Butter Chicken, ₹245.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/u/butter-chickencooked-800-x-533.jpg
33,Cabbage / முட்டைகோஸ், ₹17.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/a/cabbage_flat_4.png
34,Cabbage Leafy Vegetable Mix - 500g Pack (Ozone Washed), ₹99.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/u/cut_cabbage_1.jpg
35,Capsicum Green / பச்சை குடைமிளகாய், ₹32.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/a/capsicum_green_3.jpg
36,Capsicum Red / சிவப்பு குடைமிளகாய், ₹90.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/r/e/red_capsicum_1.jpg
37,Capsicum Yellow / மஞ்சள் குடைமிளகாய், ₹90.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/a/capsicum_yellow_1.jpg
38,Carrot & Beans Cut Vegetable Mix - 500g Pack (Ozone Washed), ₹95.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/a/carrot_and_beans.jpg
39,Carrot Local / கேரட், ₹37.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/l/o/local_carrot.jpg
40,Catla (1kg to 2kg), ₹125.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/a/catla_1_4.jpg
41,Catla / கெண்டை (700g to 950g), ₹119.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/a/catla-800-x-533_1.jpg
42,Cauliflower Fresh - 1 Unit / காலிஃபிளவர், ₹40.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/a/cauliflower_1_2.jpg
43,Chara Pona / Baby Rohu, ₹179.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/_/9/_90a28355d.jpg
44,Chayote / Chow Chow / Cho Cho / சௌ சௌ, ₹20.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chow_chow_1_.jpg
45,Chicken Mince / Kheema Dry Fry (500g), ₹280.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_kheema.jpg
46,Chilli Baji Green Fresh / பஜ்ஜி மிளகாய், ₹35.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chilli_fat_1.jpg
47,"Clam Meat / Kakka / சிப்பி (Large, uncleaned)", ₹225.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/l/clam_large.jpg
48,"Clam Meat / Kakka / சிப்பி (Medium, uncleaned)", ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/e/medium_clams.jpg
49,"Cobia / Motha/ Black King Fish / நெய் (Similar to Seer Fish, Some Say That It Tastes Better)", ₹299.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/o/modha_whole_2.jpg
50,Coccenia Fresh / கோவக்காய், ₹22.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/i/tindley_1.jpg
51,Coconut - Medium, ₹30.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/o/coconut1.jpg
52,Coconut Chicken Curry (500g), ₹249.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/o/coconut_chicken-coocked.jpg.jpg
53,Colocasia / சேப்பங்கிழங்கு, ₹22.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/o/colocasia_1.jpg
54,Combo Pack (1kg of Premium Tender & Antibiotic-residue-free Chicken Skinless Curry Cut + 0.5kg Fresh Indian Baasa-Boneless Fillets), ₹475.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_baasa_fillet.jpg
55,Combo Pack (1kg Premium Tender & Antibiotic-residue-free Chicken Skinless Curry Cut + 500g Premium Antibiotic-residue-free Boneless Chicken Cubes), ₹375.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_cubes.jpg
56,Coriander Leaf Bunch / கொத்தமல்லி, ₹20.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/o/coriander.jpg
57,Cucumber (LB), ₹40.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/u/cucumber_local_1.jpg
58,Cucumber European Fresh / வெள்ளரிக்காய், ₹28.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/y/hybrid_cucmber_1.jpg
59,Cucumber Green Fresh, ₹27.50,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/u/cucumber_local_1_2.jpg
60,Cut Potatoes & Cauliflower Aloo Gobi Mix - 500g Pack (Ozone Washed), ₹85.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/a/l/aloo_goby_1.jpg
61,Desi Bata Fish / বাটা/ Reba Fish/ Labeo bata (Kolkata/Malancha), ₹159.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/_/9/_90a26795d.jpg
62,Drumstick - 1 Unit / முருங்கைக்காய், ₹12.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/d/r/drumsticks.jpg
63,Drumsticks - 2 Units / முருங்கைக்காய், ₹18.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/d/r/drumsticks_1.jpg
64,Eel / Mananjil, ₹289.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/e/e/eel_49222252_xxl_1.jpg
65,Emperor / Eari / Sheri / Shaari / விள, ₹239.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/e/m/emperor-emperorfishwhole_3.jpg
66,Emperor / Eari / Sheri / விள (Small), ₹299.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/e/m/emperor-whole-_1_.jpg
67,Finletted Mackerel / Kanni Ayala (Medium / Large), ₹175.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/i/finletted_mackerel_01.jpg
68,Flower Tiger Shrimp, ₹439.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a75895d-edit_-_flower_prawn_1.jpg
69,Fresh Atlantic Salmon / அட்லாண்டிக் காலா, ₹649.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/a/t/atlantic_salmon1.jpg
70,Fresh Indian Baasa / Pangasius / Pangas / பாஸா, ₹99.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/a/baasa_whole.jpg
71,Freshly Frozen Seer Fish / Surmai / Vanjaram / Anjal - Curry Cut, ₹549.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/r/frozen_seer_curry_cut.jpg
72,Freshly Frozen Seer Fish / Surmai / Vanjaram / Anjal - Steaks, ₹649.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/r/freshly_frozen_seer_steak.jpg
73,Gambas - Prawns Cooked In Sun Dried Tomato And Olives, ₹295.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/r/prawn_gambas.jpg
74,Garfish / Kola (Medium), ₹189.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/a/gar_fish_whole_02.jpg
75,Garlic / பூண்டு, ₹95.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/a/garlic_india.jpg
76,Goby / Poolan / Bele Mach, ₹375.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/_/9/_90a28145d_b.jpg
77,Granny's Masala Fried Chicken (250g Pack), ₹125.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grandma_fried_chicken_cooked_1.jpg
78,Grapes Paneer Gulabi Fresh / பன்னீர் திராட்சை, ₹45.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grapes_red_seedless_aust.kg_1_1.jpg
79,Grapes Red Globe (EG), ₹160.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grapes_redglobe-chile_1.jpg
80,Grapes White Seedless (TU), ₹65.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grapes_white_soutafrica_4.jpg
81,Green Chilli, ₹30.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/green_chilli.jpg
82,Grey Mullet / Thirutha / Bhangor / ভাঙ্গর / பால், ₹225.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grey-mullet.jpg
83,Groundnut Fresh / வேர்க்கடலை, ₹40.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/r/fresh_goundnut_2.jpg
84,Grouper / Reef Cod / Kalava / கலவா (Large), ₹239.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grouper_large_3.jpg
85,"Hilsa / Ilish - (Whole Fish Size 900gm-1kg) (Cleaned, Bengali Round cut) 1pc"," ₹2,249.00",/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/i/hilsa-fish_01_2.jpg
86,Honey Mustard Chicken Wings (400g to 430g), ₹249.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/o/honey-mustard-chicken-wings.jpg
87,Horse Mackerel / Ayala Para / Vankada, ₹169.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/o/horse_mackerel_7.jpg
88,Horse Mackerel / Ayala Para / Vankada / புலி பாறை (Small), ₹169.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/o/horse-mackerel_whole.jpg
89,"Idly / Dosa Batter (Freshly Stone-ground, no added preservatives/chemicals) - 1kg Pack", ₹55.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/i/d/idly_dosa_batter_1.jpg
90,Indian Halibut / Ayiram Palli, ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/i/n/indianhalibut-86749_580_360_3.jpg
91,Indian Prawns / Venami / Vannamei / Jhinga / Chemmin (40+ Count/kg), ₹369.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/r/prawns__full.jpg
92,Indian Prawns / Venami / Vannamei / Jhinga / Chemmin (30+ Count/kg), ₹449.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/v/e/venami-prawns-whole.jpg
93,Indian Prawns / Venami / Vannamei / Jhinga / Chemmin (50+ Count/kg), ₹319.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/v/e/venami_prawns_3.jpg
94,Indian Prawns / Venami / Vannamei / Jhinga / Chemmin (60+ Count/kg), ₹299.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/v/e/venami_prawns_6.jpg
95,Jumbo Flower Tiger Shrimp (Large), ₹649.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a75615d-edit_1.jpg
96,Kerala Prawn Roast (300g), ₹325.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/8/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/e/kerala-prawn-roast-cooked.jpg
